1,14,59,90,89,55,6,88
2,62,19,21,64,93,69,96
3,98,64,20,17,90,53,27
4,54,73,3,98,8,92,7
5,73,25,75,74,58,66,99
6,69,53,46,77,12,81,9
7,66,66,62,18,88,53,11
8,60,24,25,92,48,55,19
9,16,70,82,31,91,94,39
10,17,59,28,80,89,27,97
11,71,95,88,31,24,14,15
12,68,34,62,16,63,21,26
13,93,26,52,89,56,43,29
14,7,9,93,62,46,79,92
15,37,13,52,79,39,33,97
16,42,21,82,43,69,32,3
17,74,31,3,37,3,18,3
18,30,49,87,10,82,48,52
19,84,100,59,9,18,73,22
20,15,97,35,75,41,91,28
21,10,92,33,37,72,88,82
22,72,27,30,57,4,8,48
23,62,4,96,47,62,35,20
24,42,5,57,62,10,38,4
25,12,23,38,70,61,4,36
26,56,65,12,90,86,89,17
27,47,95,44,47,83,11,98
28,34,57,16,29,40,33,35
29,16,63,84,4,83,63,85
30,88,92,27,49,64,60,95
31,83,71,27,4,83,3,99
32,74,26,26,56,54,9,62
33,91,57,58,59,98,48,58
34,28,38,77,81,92,24,72
35,18,27,88,24,17,82,96
36,66,74,60,39,23,8,91
37,63,30,63,84,69,19,88
38,87,14,2,35,4,82,33
39,3,76,62,30,79,51,8
40,87,11,3,73,49,58,36
41,63,41,57,15,97,87,63
42,87,38,4,92,94,61,79
43,75,92,19,16,72,3,77
44,53,35,47,8,35,99,82
45,73,26,53,66,31,12,54
46,16,19,16,47,86,18,63
47,82,39,57,27,13,35,90
48,76,74,80,17,2,15,19
49,31,19,14,89,88,9,95
50,91,16,49,44,86,66,1
51,62,23,26,21,65,80,99
52,41,62,38,76,16,68,3
53,84,11,74,3,72,34,44
54,2,54,70,81,31,5,34
55,1,75,75,85,86,87,72
56,87,76,81,20,21,93,73
57,12,68,87,100,50,74,68
58,36,2,13,15,63,25,35
59,4,53,40,83,53,69,15
60,55,92,43,14,26,91,19
61,91,87,2,19,11,13,18
62,56,23,51,55,30,6,86
63,41,94,53,74,38,50,43
64,92,20,16,44,67,13,8
65,76,32,99,79,87,30,33
66,82,95,42,96,1,15,59
67,60,26,72,65,96,36,31
68,25,43,78,3,57,19,44
69,47,15,18,80,70,36,27
70,81,19,98,49,90,14,92
71,48,8,6,44,75,83,98
72,32,66,39,13,26,58,54
73,21,23,51,4,93,62,17
74,68,80,35,19,12,39,73
75,99,51,37,9,51,45,47
76,43,82,3,9,63,75,74
77,25,25,66,9,25,14,64
78,48,92,14,9,15,67,55
79,13,31,94,28,69,39,77
80,22,75,57,90,89,31,91
81,90,80,11,79,34,78,21
82,57,87,27,95,84,52,86
83,21,52,55,50,46,73,14
84,54,91,77,3,87,91,49
85,9,36,18,44,91,46,30
86,73,40,75,45,69,85,56
87,65,11,92,20,35,30,30
88,92,22,47,10,29,98,39
89,94,23,39,58,43,31,48
90,52,59,77,29,83,98,18
91,35,9,43,62,62,73,20
92,93,90,52,87,72,45,21
93,20,35,74,87,3,90,84
94,81,56,31,72,75,25,34
95,11,51,24,59,87,23,84
96,19,48,14,19,78,43,52
97,88,24,29,9,20,21,1
98,6,49,20,23,40,96,19
99,68,32,64,42,76,80,17
100,41,6,78,61,9,21,79
101,18,47,44,21,13,79,21
102,63,43,67,100,37,2,72
103,39,30,41,73,22,72,85
104,57,95,87,41,18,46,49
105,61,80,62,10,5,82,52
106,85,86,81,62,68,81,87
107,99,60,39,52,93,24,70
108,61,20,87,49,69,65,90
109,33,31,75,8,94,1,42
110,21,100,9,96,35,37,51
111,49,14,92,74,2,90,26
112,10,45,47,60,61,76,37
113,58,36,1,19,20,61,99
114,91,70,44,91,18,32,40
115,54,59,52,12,33,59,49
116,49,17,95,93,57,83,87
117,12,78,55,17,46,37,36
118,50,90,13,87,67,93,62
119,37,94,60,72,5,69,10
120,2,29,88,57,58,27,84
121,69,80,59,48,49,21,62
122,76,51,44,30,15,53,96
123,24,11,96,9,59,35,58
124,68,97,15,98,70,11,35
125,19,68,93,86,88,50,59
126,70,47,9,78,47,16,75
127,87,25,69,66,65,83,96
128,27,57,26,25,65,29,27
129,44,36,28,58,36,62,98
130,6,35,34,71,33,64,28
131,10,75,92,97,98,34,37
132,25,69,68,18,88,50,76
133,16,68,72,53,88,70,39
134,18,83,37,43,26,68,25
135,41,21,3,59,71,16,46
136,46,80,100,84,99,78,34
137,57,45,20,9,75,73,33
138,50,20,9,46,45,7,59
139,15,34,26,51,57,43,16
140,80,33,75,67,37,17,89
141,51,79,93,36,99,57,11
142,50,37,37,87,15,62,81
143,3,93,77,54,69,52,61
144,20,77,74,80,25,99,93
145,47,69,79,67,65,65,15
146,24,70,26,70,88,15,73
147,32,97,27,12,88,15,73
148,70,3,80,59,2,85,99
149,75,7,83,44,55,77,58
150,13,96,22,63,69,53,20
151,58,97,23,50,21,6,75
152,87,64,51,20,4,68,20
153,29,90,80,24,27,41,83
154,2,74,84,6,67,76,55
155,88,19,98,86,100,92,94
156,48,97,37,41,43,72,24
157,83,45,51,2,46,14,79
158,34,37,90,49,8,27,52
159,88,46,92,19,7,88,11
160,99,98,18,11,32,81,69
161,83,24,91,28,36,83,95
162,43,89,68,59,42,82,43
163,21,76,27,45,87,92,49
164,13,31,23,1,5,7,31
165,35,86,60,92,66,85,65
166,75,7,27,82,37,57,48
167,3,96,78,81,8,95,29
168,68,32,13,67,99,21,20
169,72,10,4,25,49,100,79
170,22,81,69,85,12,90,73
171,75,5,97,2,77,48,63
172,65,76,33,49,20,88,72
173,26,70,87,54,69,42,13
174,10,80,12,33,20,49,14
175,53,37,46,35,98,84,14
176,99,53,75,85,74,50,74
177,55,69,29,71,2,37,32
178,23,11,2,78,71,66,94
179,26,33,59,46,1,62,4
180,59,24,100,66,41,46,85
181,6,52,63,8,65,83,6
182,75,93,4,63,1,64,24
183,28,60,63,86,80,61,70
184,14,89,37,63,8,46,60
185,60,27,11,56,46,89,48
186,60,48,9,38,9,24,8
187,91,3,97,5,66,52,4
188,69,24,29,96,62,27,92
189,84,89,6,47,45,17,65
190,8,69,61,28,53,52,63
191,7,80,76,56,37,98,60
192,28,60,30,19,59,29,71
193,29,73,26,70,26,22,30
194,91,28,17,71,30,7,5
195,16,19,27,29,65,57,47
196,51,20,8,58,83,76,58
197,54,76,36,18,47,75,5
198,4,89,81,28,9,55,94
199,40,86,79,13,82,70,64
200,57,5,46,62,72,57,92
201,27,37,13,51,17,71,79
202,89,29,47,58,68,100,98
